refDes,platformType,zarrFile,variables
RS03ASHS-MJ03B-07-TMPSFA301,fixed,RS03ASHS-MJ03B-07-TMPSFA301-streamed-tmpsf_sample,"['temperature01','temperature02','temperature03','temperature04','temperature05','temperature06','temperature07','temperature08','temperature09','temperature10','temperature11','temperature12','temperature13','temperature14','temperature15','temperature16','temperature17','temperature18','temperature19','temperature20','temperature21','temperature22','temperature23','temperature24']"
RS03INT1-MJ03C-10-TRHPHA301,fixed,RS03INT1-MJ03C-10-TRHPHA301-streamed-trhph_sample,"['vent_fluid_temperature','vent_fluid_chloride_conc']"
RS03INT1-MJ03C-09-TRHPHA302,fixed,RS03INT1-MJ03C-09-TRHPHA302-streamed-trhph_sample,"['vent_fluid_temperature','vent_fluid_chloride_conc']"
RS01SBPS-SF01A-3D-SPKIRA101,profiler,RS01SBPS-SF01A-3D-SPKIRA101-streamed-spkir_data_record,"['spkir_downwelling_vector_412nm','spkir_downwelling_vector_443nm','spkir_downwelling_vector_490nm','spkir_downwelling_vector_510nm','spkir_downwelling_vector_555nm','spkir_downwelling_vector_620nm','spkir_downwelling_vector_683nm']"
CE04OSPS-SF01B-3D-SPKIRA102,profiler,CE04OSPS-SF01B-3D-SPKIRA102-streamed-spkir_data_record,"['spkir_downwelling_vector_412nm','spkir_downwelling_vector_443nm','spkir_downwelling_vector_490nm','spkir_downwelling_vector_510nm','spkir_downwelling_vector_555nm','spkir_downwelling_vector_620nm','spkir_downwelling_vector_683nm']"
RS03AXPS-SF03A-3D-SPKIRA301,profiler,RS03AXPS-SF03A-3D-SPKIRA301-streamed-spkir_data_record,"['spkir_downwelling_vector_412nm','spkir_downwelling_vector_443nm','spkir_downwelling_vector_490nm','spkir_downwelling_vector_510nm','spkir_downwelling_vector_555nm','spkir_downwelling_vector_620nm','spkir_downwelling_vector_683nm']"
RS01SBPS-SF01A-4B-VELPTD102,profiler,RS01SBPS-SF01A-4B-VELPTD102-streamed-velpt_velocity_data,"['velpt_d_eastward_velocity','velpt_d_northward_velocity','velpt_d_upward_velocity']"
CE04OSPS-SF01B-4B-VELPTD106,profiler,CE04OSPS-SF01B-4B-VELPTD106-streamed-velpt_velocity_data,"['velpt_d_eastward_velocity','velpt_d_northward_velocity','velpt_d_upward_velocity']"
RS03AXPS-SF03A-4B-VELPTD302,profiler,RS03AXPS-SF03A-4B-VELPTD302-streamed-velpt_velocity_data,"['velpt_d_eastward_velocity','velpt_d_northward_velocity','velpt_d_upward_velocity']"
RS01SBPD-DP01A-02-VEL3DA103,profiler,RS01SBPD-DP01A-02-VEL3DA103-recovered_inst-dpc_acm_instrument_recovered,"['vel3d_a_eastward_velocity','vel3d_a_northward_velocity','vel3d_a_upward_velocity_ascending','vel3d_a_upward_velocity_descending']"
